Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
394,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
395,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
396,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
397,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
398,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
399,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
400,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
401,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
402,Typhoid,High fever, Weakness, Abdominal pain, Rash
403,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
404,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
405,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
406,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
407,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
408,AIDS,Fever, Fatigue, Weight loss, Frequent infections
409,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
410,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
411,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
412,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
413,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
414,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
415,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
416,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
417,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
418,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
419,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
420,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
421,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
422,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
423,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
424,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
425,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
426,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
427,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
428,Common Cold,Sneezing, Runny nose, Sore throat, Cough
429,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
430,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
431,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
432,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
433,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
434,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
435,Dermatitis,Itching, Redness, Swelling, Skin irritation
436,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
437,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
438,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
439,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
440,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
441,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
442,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
443,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
444,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
445,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
446,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
447,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
448,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
449,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
450,Gout,Joint pain, Redness, Swelling, Warmth
451,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
452,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
453,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
454,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
455,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
456,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
457,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
458,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
459,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
460,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
461,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
462,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
463,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
464,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
465,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
466,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
467,Impetigo,Red sores, Itching, Blisters, Skin crusting
468,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
469,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
470,Influenza,Fever, Chills, Body aches, Sore throat
471,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
472,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
473,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
474,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
475,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
476,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
477,Malaria,High fever, Chills, Sweating, Muscle pain
478,Measles,Fever, Rash, Cough, Runny nose
479,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
480,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
481,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
482,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
483,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
484,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
485,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
486,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
487,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
488,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
489,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
490,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
491,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
492,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
493,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
494,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
495,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
496,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
497,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
498,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
499,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
500,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
501,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
502,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
503,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
504,Typhoid,High fever, Weakness, Abdominal pain, Rash
505,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
506,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
507,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
508,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
509,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
510,AIDS,Fever, Fatigue, Weight loss, Frequent infections
511,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
512,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
513,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
514,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
515,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
516,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
517,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
518,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
519,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
520,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
521,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
522,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
523,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
524,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
525,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
526,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
527,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
528,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
529,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
530,Common Cold,Sneezing, Runny nose, Sore throat, Cough
531,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
532,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
533,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
534,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
535,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
536,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
537,Dermatitis,Itching, Redness, Swelling, Skin irritation
538,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
539,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
540,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
541,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
542,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
543,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
544,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
545,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
546,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
547,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
548,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
549,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
550,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
551,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
552,Gout,Joint pain, Redness, Swelling, Warmth
553,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
554,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
555,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
556,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
557,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
558,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
559,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
560,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
561,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
562,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
563,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
564,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
565,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
566,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
567,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
568,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
569,Impetigo,Red sores, Itching, Blisters, Skin crusting
570,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
571,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
572,Influenza,Fever, Chills, Body aches, Sore throat
573,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
574,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
575,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
576,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
577,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
578,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
579,Malaria,High fever, Chills, Sweating, Muscle pain
580,Measles,Fever, Rash, Cough, Runny nose
581,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
582,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
583,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
584,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
585,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
586,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
587,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
588,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
589,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
590,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
591,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
592,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
593,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
594,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
595,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
596,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
597,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
598,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
599,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
600,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
601,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
602,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
603,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
604,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
605,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
606,Typhoid,High fever, Weakness, Abdominal pain, Rash
607,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
608,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
609,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
610,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
611,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
612,AIDS,Fever, Fatigue, Weight loss, Frequent infections
613,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
614,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
615,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
616,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
617,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
618,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
619,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
620,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
621,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
622,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
623,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
624,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
625,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
626,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
627,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
628,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
629,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
630,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
631,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
632,Common Cold,Sneezing, Runny nose, Sore throat, Cough
633,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
634,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
635,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
636,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
637,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
638,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
639,Dermatitis,Itching, Redness, Swelling, Skin irritation
640,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
641,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
642,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
643,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
644,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
645,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
646,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
647,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
648,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
649,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
650,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
651,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
652,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
653,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
654,Gout,Joint pain, Redness, Swelling, Warmth
655,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
656,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
657,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
658,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
659,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
660,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
